PS|PC_HL|P_HL_KAN|DAT_AKT
1|1|10|12.09.2023 09:20:00
1|2|0|
1|3|60|
1|4|0|
1|5|10|
1|6|0|
1|7|10|
1|8|0|
1|9|285|
1|10|0|
1|11|90|
1|12|110|
1|13|0|
1|14|50|
1|15|0|
1|16|0|
1|17|50|
1|18|0|
1|19|0|
1|20|0|
1|21|0|
1|22|74|
1|23|0|
1|24|0|
1|25|80|
1|26|0|
1|27|114|
1|28|0|
1|29|0|
1|30|0|
1|31|70|
1|32|0|
1|33|0|
1|34|0|
1|35|0|
1|36|0|
1|37|0|
1|38|0|
1|39|0|
1|40|28|
1|41|50|
1|42|0|
1|43|0|
1|44|0|
1|45|106|
1|46|0|
1|47|0|
1|48|60|
1|49|10|
1|50|10|
1|51|0|
1|52|0|
1|53|0|
1|54|66|
1|55|0|
1|56|0|
1|57|0|
1|58|0|
1|59|0|
1|60|88|
2|1|30|
2|2|0|
2|3|30|
2|4|0|
2|5|120|
2|6|0|
2|7|60|
2|8|0|
2|9|0|
2|10|0|
2|11|30|
2|12|0|
2|13|0|
2|14|0|
2|15|0|
2|16|0|
2|17|0|
2|18|3|
2|19|3|
2|20|3|
2|21|30|
2|22|0|
2|23|0|
2|24|0|
2|25|0|
2|26|0|
2|27|0|
2|28|0|
2|29|0|
2|30|0|
2|31|0|
2|32|0|
2|33|0|
2|34|0|
2|35|0|
2|36|0|
2|37|0|
2|38|0|
2|39|0|
2|40|0|
2|41|0|
2|42|0|
2|43|0|
2|44|0|
2|45|0|
2|46|0|
2|47|0|
2|48|0|
2|49|0|
2|50|0|
2|51|0|
2|52|0|
2|53|0|
2|54|0|
2|55|0|
2|56|0|
2|57|0|
2|58|0|
2|59|0|
2|60|0|
2|61|0|
2|62|0|
2|63|0|
2|64|0|
2|65|0|
2|66|0|
2|67|0|
2|68|0|
2|69|0|
2|70|0|
3|1|1|
3|2|11|
3|3|21|
3|4|91|
3|5|105|
3|6|10|
3|7|0|
3|8|0|
3|9|0|
3|10|0|
3|11|1|
3|12|0|
3|13|0|
3|14|0|
3|15|0|
3|16|0|
3|17|0|
3|18|0|
3|19|0|
3|20|0|
3|21|0|
3|22|0|
3|23|0|
3|24|0|
3|25|0|
3|26|0|
3|27|0|
3|28|0|
3|29|0|
3|30|0|
3|31|0|
3|32|0|
3|33|0|
3|34|0|
3|35|0|
3|36|0|
3|37|0|
3|38|0|
3|39|0|
3|40|0|
3|41|0|
3|42|0|
3|43|0|
3|44|0|
3|45|0|
3|46|0|
3|47|0|
3|48|0|
3|49|0|
3|50|0|
3|51|0|
